tag,inital
TIMER,0
EV0116,1
FV5161B,69.0
0EV703,1
0EV016,1
0EV705,1
0EV704,1
0EV702,1
0PIC085OP,36.2769
0PIC085PV,68.9873
0PIC085SP,68.9873
0PIC085TV,0.0
0PIC085CAS,0.0
0PIC085KC,2
0PIC085TI,0.5
0PIC085OPM,36.2783
0PIC085OPL,0.0
0PIC085OPH,100.0
P003AB,1
P002AB,1
P001AB,1
P005,1
0PDI701,0
0PDI072,0
0LIC702OP,314.6484
0LIC702PV,49.9997
0LIC702SP,50
0LIC702TV,0.0
0LIC702CAS,0.0
0LIC702KC,16
0LIC702TI,4.0
0LIC702OPM,314.658
0LIC702OPL,0
0LIC702OPH,500
0LI713,20
0LI717,2
0PI728,2
0LI716,2
0LI715,2
0TI711,2
0TI720,2
0TI710,2
0PI730,2
0LIC705OP,38.2769
0LIC705PV,70.9873
0LIC705SP,68.9873
0LIC705TV,0.0
0LIC705CAS,0.0
0LIC705KC,2
0LIC705TI,0.5
0LIC705OPM,36.2783
0LIC705OPL,0.0
0LIC705OPH,100.0
0TIC707OP,38.2769
0TIC707PV,70.9873
0TIC707SP,68.9873
0TIC707TV,0.0
0TIC707CAS,0.0
0TIC707KC,2
0TIC707TI,0.5
0TIC707OPM,36.2783
0TIC707OPL,0.0
0TIC707OPH,100.0
0EV018,1
0EV017,1
0EV034,1
0LI016,2
0TIC001OP,38.2769
0TIC001PV,70.9873
0TIC001SP,68.9873
0TIC001TV,0.0
0TIC001CAS,0.0
0TIC001KC,2
0TIC001TI,0.5
0TIC001OPM,36.2783
0TIC001OPL,0.0
0TIC001OPH,100.0
0PIC706OP,38.2769
0PIC706PV,70.9873
0PIC706SP,68.9873
0PIC706TV,0.0
0PIC706CAS,0.0
0PIC706KC,2
0PIC706TI,0.5
0PIC706OPM,36.2783
0PIC706OPL,0.0
0PIC706OPH,100.0
0LIC708OP,38.2769
0LIC708PV,10
0LIC708SP,68.9873
0LIC708TV,0.0
0LIC708CAS,0.0
0LIC708KC,2
0LIC708TI,0.5
0LIC708OPM,36.2783
0LIC708OPL,0.0
0LIC708OPH,100.0
0BV701,2
0BPZIC016,2
